UserID;Age;Gender;Race;Province;Channel2;record_date;record_time;Hour_SA;Day_Name;Time_bucket;Month_name;Duration_Seconds;Age_group
2370319;27;male;None;Limpopo;Supersport Live Events;2016/03/24;17:45:00;17;Thursday;Late Afternoon;March;76;26-35
2370319;27;male;None;Limpopo;Trace TV;2016/03/23;22:06:00;22;Wednesday;Evening;March;843;26-35
2370319;27;male;None;Limpopo;SuperSport Blitz;2016/03/19;20:56:00;20;Saturday;Evening;March;448;26-35
2370319;27;male;None;Limpopo;SuperSport Blitz;2016/03/20;06:12:00;6;Sunday;Early Morning;March;750;26-35
2370319;27;male;None;Limpopo;E! Entertainment;2016/03/09;15:07:00;15;Wednesday;Early Afternoon;March;30;26-35
2370319;27;male;None;Limpopo;ICC Cricket World Cup 2011;2016/03/30;12:38:00;12;Wednesday;Late Morning;March;1222;26-35
2370319;27;male;None;Limpopo;ICC Cricket World Cup 2011;2016/03/29;14:53:00;14;Tuesday;Early Afternoon;March;424;26-35
772839;27;male;black;Limpopo;Supersport Live Events;2016/02/06;19:52:00;19;Saturday;Evening;February;776;26-35
772839;27;male;black;Limpopo;Trace TV;2016/02/06;16:43:00;16;Saturday;Late Afternoon;February;9;26-35
810047;46;female;black;Mpumalanga;Africa Magic;2016/02/22;18:40:00;18;Monday;Late Afternoon;February;75;36-50
810047;46;female;black;Mpumalanga;Africa Magic;2016/02/21;20:21:00;20;Sunday;Evening;February;7;36-50
2204640;56;female;None;Gauteng;Africa Magic;2016/02/21;16:59:00;16;Sunday;Late Afternoon;February;318;50+
893557;27;male;indian_asian;Mpumalanga;ICC Cricket World Cup 2011;2016/03/23;12:53:00;12;Wednesday;Late Morning;March;78;26-35
893557;27;male;indian_asian;Mpumalanga;E! Entertainment;2016/03/23;21:35:00;21;Wednesday;Evening;March;82;26-35
893557;27;male;indian_asian;Mpumalanga;ICC Cricket World Cup 2011;2016/03/25;18:28:00;18;Friday;Late Afternoon;March;56;26-35
2000272;37;male;coloured;Western Cape;E! Entertainment;2016/02/14;01:09:00;1;Sunday;Late Night;February;1600;36-50
821676;40;female;black;Limpopo;Africa Magic;2016/03/02;14:34:00;14;Wednesday;Early Afternoon;March;1673;36-50
821676;40;female;black;Limpopo;M-Net;2016/02/25;12:09:00;12;Thursday;Late Morning;February;73;36-50
624424;21;male;indian_asian;Kwazulu Natal;Supersport Live Events;2016/01/15;00:01:00;0;Friday;Late Night;January;78;18-25
906640;34;male;indian_asian;Kwazulu Natal;Supersport Live Events;2016/03/24;12:40:00;12;Thursday;Late Morning;March;3026;26-35
870004;38;male;black;Gauteng;Supersport Live Events;2016/03/07;15:25:00;15;Monday;Early Afternoon;March;40;36-50
940827;27;female;black;Gauteng;Africa Magic;2016/03/31;19:49:00;19;Thursday;Evening;March;13;26-35
940827;27;female;black;Gauteng;Vuzu;2016/03/31;18:55:00;18;Thursday;Late Afternoon;March;35;26-35
695996;24;female;black;Gauteng;Africa Magic;2016/01/19;17:35:00;17;Tuesday;Late Afternoon;January;2;18-25
772844;34;male;black;Gauteng;Africa Magic;2016/01/27;22:59:00;22;Wednesday;Evening;January;29;26-35
772844;34;male;black;Gauteng;Africa Magic;2016/01/29;00:30:00;0;Friday;Late Night;January;29;26-35
772624;47;male;black;North West;E! Entertainment;2016/03/10;16:09:00;16;Thursday;Late Afternoon;March;0;36-50
804601;25;female;white;Gauteng;Cartoon Network;2016/02/20;11:55:00;11;Saturday;Late Morning;February;0;18-25
804601;25;female;white;Gauteng;Cartoon Network;2016/02/11;17:46:00;17;Thursday;Late Afternoon;February;169;18-25
867138;32;male;black;Gauteng;E! Entertainment;2016/03/10;09:41:00;9;Thursday;Early Morning;March;236;26-35
867349;23;male;coloured;Kwazulu Natal;SawSee;2016/03/03;22:00:00;22;Thursday;Evening;March;88;18-25
867349;23;male;coloured;Kwazulu Natal;Supersport Live Events;2016/03/06;17:04:00;17;Sunday;Late Afternoon;March;28;18-25
892168;29;male;coloured;Western Cape;E! Entertainment;2016/03/26;13:23:00;13;Saturday;Early Afternoon;March;22;26-35
867351;26;male;black;Limpopo;Cartoon Network;2016/03/05;11:26:00;11;Saturday;Late Morning;March;30;26-35
867351;26;male;black;Limpopo;Boomerang;2016/03/12;15:52:00;15;Saturday;Early Afternoon;March;864;26-35
617576;39;male;white;Western Cape;Vuzu;2016/01/10;19:36:00;19;Sunday;Evening;January;114;36-50
810051;22;female;indian_asian;Gauteng;Cartoon Network;2016/02/18;13:22:00;13;Thursday;Early Afternoon;February;15;18-25
810051;22;female;indian_asian;Gauteng;SuperSport Blitz;2016/02/19;22:41:00;22;Friday;Evening;February;210;18-25
810051;22;female;indian_asian;Gauteng;SuperSport Blitz;2016/02/18;14:28:00;14;Thursday;Early Afternoon;February;26;18-25
810051;22;female;indian_asian;Gauteng;Cartoon Network;2016/02/18;20:17:00;20;Thursday;Evening;February;1184;18-25
810051;22;female;indian_asian;Gauteng;E! Entertainment;2016/03/06;21:44:00;21;Sunday;Evening;March;42;18-25
810051;22;female;indian_asian;Gauteng;SuperSport Blitz;2016/02/27;21:18:00;21;Saturday;Evening;February;156;18-25
810052;20;male;indian_asian;Limpopo;Boomerang;2016/02/18;16:56:00;16;Thursday;Late Afternoon;February;54;18-25
810052;20;male;indian_asian;Limpopo;Supersport Live Events;2016/02/18;16:09:00;16;Thursday;Late Afternoon;February;86;18-25
810052;20;male;indian_asian;Limpopo;ICC Cricket World Cup 2011;2016/02/22;15:03:00;15;Monday;Early Afternoon;February;172;18-25
810052;20;male;indian_asian;Limpopo;ICC Cricket World Cup 2011;2016/02/21;15:08:00;15;Sunday;Early Afternoon;February;630;18-25
810052;20;male;indian_asian;Limpopo;ICC Cricket World Cup 2011;2016/02/19;18:31:00;18;Friday;Late Afternoon;February;1076;18-25
810052;20;male;indian_asian;Limpopo;ICC Cricket World Cup 2011;2016/03/11;11:24:00;11;Friday;Late Morning;March;326;18-25
810052;20;male;indian_asian;Limpopo;Vuzu;2016/02/24;12:30:00;12;Wednesday;Late Morning;February;16;18-25
810052;20;male;indian_asian;Limpopo;Cartoon Network;2016/02/18;16:57:00;16;Thursday;Late Afternoon;February;16;18-25
787028;44;male;coloured;Western Cape;ICC Cricket World Cup 2011;2016/03/29;11:45:00;11;Tuesday;Late Morning;March;196;36-50
906650;32;male;indian_asian;Gauteng;Supersport Live Events;2016/03/24;16:50:00;16;Thursday;Late Afternoon;March;756;26-35
755243;35;female;black;Gauteng;Boomerang;2016/01/30;16:41:00;16;Saturday;Late Afternoon;January;0;26-35
202019;25;male;indian_asian;Western Cape;ICC Cricket World Cup 2011;2016/03/30;10:59:00;10;Wednesday;Late Morning;March;256;18-25
906654;40;male;coloured;North West;ICC Cricket World Cup 2011;2016/03/26;14:50:00;14;Saturday;Early Afternoon;March;114;36-50
893562;37;male;black;Gauteng;Africa Magic;2016/03/25;10:35:00;10;Friday;Late Morning;March;89;36-50
893562;37;male;black;Gauteng;Cartoon Network;2016/03/26;09:38:00;9;Saturday;Early Morning;March;0;36-50
893562;37;male;black;Gauteng;Channel O;2016/03/26;07:15:00;7;Saturday;Early Morning;March;1296;36-50
2239638;40;male;indian_asian;Limpopo;Supersport Live Events;2016/01/16;09:30:00;9;Saturday;Early Morning;January;8;36-50
777946;43;female;black;Gauteng;Channel O;2016/02/14;10:28:00;10;Sunday;Late Morning;February;4416;36-50
777946;43;female;black;Gauteng;Africa Magic;2016/02/10;22:54:00;22;Wednesday;Evening;February;1949;36-50
777946;43;female;black;Gauteng;Africa Magic;2016/01/28;00:17:00;0;Thursday;Late Night;January;415;36-50
777946;43;female;black;Gauteng;Africa Magic;2016/01/26;22:49:00;22;Tuesday;Evening;January;205;36-50
777946;43;female;black;Gauteng;Boomerang;2016/01/03;21:01:00;21;Sunday;Evening;January;965;36-50
